Recipe Name,Category,Ingredients,Method,Yield/Notes
"Lit Burger 'old' 'plating'","Mains & Entrees","1 Burger Patty 8oz split in half
2 slice Cheese american
1 tbsp Dijonaise
4 Pickles
Pomme Frites
1 slice Bacon possible addon
1 Egg possible addon, fried over easy
1 ramekin Sriracha Mayo","1. Place unopened package on counter and place your weight on it to flatten
2. Use pairing knife to open package
3. Split patty in 2, season heavily with salt and pepper
4. Grill patties for ~2 min
5. At the same time, dry toast bun on the grill until crunchy
6. Place bun on brown plate, button up top down. Smear dijonaise on botton and top with pickles.
7. Flip patties and crush with steak weights until you can see lattice through the grill. Super crushed
8. When patty is cooked through, flip and cheese
9. When cheese is melted, stack patties and plate on bun
10. Top with egg and bacon if needed
11. Plate with 1 handful of pomme frites and 1 ramekin sriracha mayo","N/A"
"Focaccia Scratch","Breads & Doughs","4.8 kg Flour All-Purpose
3.74 kg Water 78% hydration
48 g Instant Yeast
48 g Sugar
96 g Salt
144 Cont Extra Virgin Olive Oil g for the dough + extra for drizzling and lining
32 Clove Garlic: thinly sliced
to taste Rosemary Fresh A few sprigs, chopped
Maldon Salt","1. Step 1: Autolyse
2. Mix flour and water: In the bowl of the Hobart mixer, combine all-purpose flour and water. Stir gently until just combined without kneading.
3. Rest: Let the mixture rest for 30 minutes to allow the flour to fully hydrate and begin gluten development naturally.
4. Step 2: Proof the Yeast
5. Prepare yeast mixture: While the flour and water are resting, mix the instant yeast, sugar, and a small portion of the warm water (taken from the total water amount) in a separate bowl. Wait for the mixture to become frothy, indicating that the yeast is active.
6. Step 3: Mix the Dough
7. Add yeast mixture: After the autolysing period, add the frothy yeast mixture to the dough.
8. Add olive oil and salt: Include the olive oil and salt.
9. Mix: Start mixing on a low speed to incorporate all ingredients until the dough starts to come together.
10. Step 4: Knead
11. Kneading: Increase the speed to medium and knead the dough for 8-10 minutes until smooth and elastic.
12. Step 5: First Proof
13. Bulk fermentation: Transfer the dough to large, oiled Cambro containers. Cover and let it rise in a warm, draft-free area until doubled in size, about 1.5 to 2 hours.
14. Step 6: Prepare for Baking
15. Oil and shape: Liberally oil two large sheet trays. Gently deflate the dough and divide it evenly between the trays.
16. Second proof: Allow the dough to rise uncovered for about 40 minutes until puffy.
17. Step 7: Dimple and Top
18. Dimpling: Using your fingertips, make deep dimples evenly across the surface of the risen dough.
19. Add toppings: Drizzle with more olive oil, then sprinkle evenly with the sliced garlic, chopped rosemary, and Maldon salt.
20. Step 8: Bake
21. Preheat oven: Preheat your oven to 500°F (260°C) with the fan on.
22. Baking: Bake the focaccia for about 15 minutes, until the middle begins to brown and the crust is crisp.
23. Step 9: Cooling and Storage
24. Cool: Remove the focaccia from the oven and let it cool on a wire rack for at least 10 minutes.
25. Cut and wrap: Once cooled completely, cut the focaccia into squares, wrap each square in plastic wrap, and label with a date sticker.
26. Store: Place the wrapped focaccia in the cooler above the freezer door.","N/A"
"Cauliflower Batter 'old'","Prep & Pantry","2 cup Starch
2 tbsp All Purpose Flour
2 tsp Corn
2 tsp Baking Powder
1 tsp Paprika
1 tsp Garlic Powder
1 tsp Onion Powder
1/2 tsp Salt
Ground Black Pepper
1 1/2 cup Beer or beer for a richer flavor","1. Whisk together dry ingredients.
2. Whisk liquids into dry mix.
3. Store in 1/3 pan on the line
4. Dispose of at end of night.","N/A"
"Hummus 'old'","Sauces & Condiments","1 #10can Canned Chickpeas
2 cup Water
2 cup Olive Oil
2 cup Tahini
6 Lemon, juice
12 Garlic, cloves
tsp Kosher Salt
4 tsp Ground Cumin","1. Drain and rinse the chickpeas from the #10 can. Submerge beans in water in a bus tub. Rub beans between your hands to shake skins off. These skins will float to the top of the water and should be poured/skimmed out.
2. In a food processor or blender, combine the chickpeas, water, lemon juice, garlic, salt, and cumin, 2 batches per can.
3. Blend the mixture until smooth and creamy. You may need to stop and scrape down the sides of the processor or blender a few times to ensure even blending. Scrape out into a bowl and use a whisk to combine with oil and tahini.
4. Store and date.","N/A"
"Chickpea Fritters","Prep & Pantry","1 #10can Canned Chickpeas, drained
1 large Onion roughly chopped
6 Garlic, cloves of minced
1 cup Parsley, chopped fresh
1 cup Cilantro, chopped fresh
1/2 cup All Purpose Flour
4 tsp Ground Cumin
2 tsp Ground Coriander
2 tsp Baking Powder
2 tsp Salt adjust to taste
1 tsp Ground Black Pepper","1. In a food processor, combine the drained and rinsed chickpeas, onion, garlic, parsley, cilantro, flour, cumin, coriander, baking powder, salt, and black pepper.
2. Pulse the mixture until well combined, but still slightly coarse. You want some texture in the falafel mixture.
3. Transfer the falafel mixture to a bowl, cover, and refrigerate for 1-2 hours to allow it to firm up.
4. After chilling, shape the mixture into small patties or balls, about 1 1/2 inches in diameter.","N/A"
"Pimento Cheese Spread","Sauces & Condiments","64 ounce Smoked Cheddar cheese, grated, 4 pounds
32 ounce Cream Cheese softened, 2 pounds
1 cup Mayo
1 cup Roasted Red Peppers
2 tsp Garlic Powder
2 tsp Onion Powder
2 tsp Smoked Paprika
to taste Salt And Pepper Salt and black pepper","1. In a large mixing bowl, combine the grated smoked cheddar cheese, softened cream cheese, mayonnaise, diced pimentos, garlic powder, onion powder, and smoked paprika.
2. Mix well until all the ingredients are thoroughly combined and the mixture is smooth and creamy.
3. Date and store in reach in cooler","N/A"
"Charred Tahini","Sauces & Condiments","2 cup Tahini
1/2 cup Lemon, juice about 4 lemons
4 Garlic, cloves minced
1/2 cup Olive Oil extra-virgin
1/4 cup Water
2 tsp Ground Cumin
1 tsp Smoked Paprika
to taste Salt
1/4 cup Toasted Sesame Seeds and charred
as needed Water","1. In a dry skillet over medium heat, toast the sesame seeds until golden brown, stirring frequently to prevent burning. This should take about 3-5 minutes. Remove from heat.
2. Transfer the toasted sesame seeds to a small bowl and let them cool for a few minutes.
3. In a mixing bowl, combine the tahini, lemon juice, minced garlic, olive oil, water, ground cumin, smoked paprika, and a pinch of salt. Mix well until all the ingredients are thoroughly combined.
4. Add the toasted and cooled sesame seeds to the mixture and stir until they are evenly incorporated.
5. Add water and blend until thin consistency.","N/A"
"Sesame Gastrique","Sauces & Condiments","2 cup Granulated Sugar
1 cup Rice Vinegar
1/2 cup Soy Sauce
1/2 cup Water
4 tbsp Toasted Sesame Oil
4 tbsp Sesame Seeds
2 tsp Corn Starch","1. In a saucepan, combine the granulated sugar, rice vinegar, soy sauce, water, toasted sesame oil, and sesame seeds.
2. Place the saucepan over medium heat and stir until the sugar has dissolved.
3. Continue to cook the mixture over medium heat, stirring occasionally, until it reaches a simmer.
4. Reduce the heat to low and let the sauce simmer gently for about 10-15 minutes, allowing the flavors to meld together.
5. To thicken sauce, mix the cornstarch with a small amount of water to create a slurry. Gradually add the slurry to the sauce, stirring continuously, and cook for an additional 1-2 minutes until the sauce thickens slightly.
6. Remove the sauce from heat and let it cool down.","N/A"
"Giardiniera","Prep & Pantry","1 cs Cauliflower Florets better to do them seperately
1 cup Carrots, sliced
1 cup Celery sliced
1 cup Bell Pepper sliced, assorted colors
1 cup Peppers sliced jalapeño, adjust quantity for desired spiciness
1 cup Green Olives sliced
1 cup Pepperoncini sliced peppers
4 Garlic, cloves minced
1 tbsp Dried Oregano
1 tbsp Dried Basil
1 tsp Red Pepper Flakes adjust quantity for desired spiciness
2 cup Distilled White Vinegar
1 cup Water
2 tbsp Granulated Sugar
2 tsp Salt","1. In a large bowl, combine the cauliflower florets, sliced carrots, sliced celery, sliced bell peppers, sliced jalapeño peppers, sliced green olives, sliced pepperoncini peppers, minced garlic, dried oregano, dried basil, and red pepper flakes.
2. In a saucepan, combine the white vinegar, water, granulated sugar, and salt. Bring the mixture to a boil over medium heat, stirring until the sugar and salt are dissolved.
3. Pour the hot vinegar mixture over the vegetable mixture in the bowl. Stir well to ensure all the vegetables are coated.
4. Cover the bowl with plastic wrap and let the giardiniera marinate at room temperature for 2 hours.","N/A"
"Confit Potatoes","Appetizers & Sides","3 pound Small Pearl Potatoes
2 cup Duck Fat enough to fully submerge the potatoes
4 clove Garlic, cloves smashed
4 sprig Thyme fresh
to taste Salt And Pepper","1. Place the small pearl potatoes in a hotel pan
2. Add the smashed garlic cloves and fresh thyme sprigs to the dish.
3. Season with salt and pepper to taste.
4. Heat the duck fat in a saucepan over low heat until melted and warmed through.
5. Pour the melted duck fat over the potatoes, ensuring that they are fully submerged.
6. Cover the dish or Dutch oven with a lid or aluminum foil.
7. Transfer the dish to the preheated oven and cook for approximately 1.5 to 2 hours, or until the potatoes are tender when pierced with a fork.
8. Remove the dish from the oven and let the potatoes cool in the duck fat for about 10 minutes.
9. Gently remove the potatoes from the duck fat and transfer them to a sheet tray to cool, discarding the garlic and thyme sprigs.","N/A"
"Agrodolce","Sauces & Condiments","8 cup Beef demi-glace
2 cup Red Wine Vinegar
1 cup Honey
1/4 cup Brown Sugar
2 tbsp. Dijon Mustard
2 tsp (Dried Thyme)
to taste Salt And Pepper","1. In a large saucepan, combine the beef demi-glace, red wine vinegar, honey, brown sugar, Dijon mustard, and dried thyme.
2. Place the saucepan over medium heat and stir well to combine all the ingredients.
3. Bring the mixture to a simmer and let it cook for about 10-15 minutes, stirring occasionally, until the sauce has slightly thickened.
4. Season with salt and pepper to taste.
5. Remove the saucepan from the heat and let the agrodolce cool for a few minutes.
6. Cool, date and store","N/A"
"Thai Coconut Broth'","Soups & Salads","4 can Coconut Milk #10 can scoop top layer of oil for frying.
8 cup Chicken Stock
4 tbsp Ginger dried
8 Lime
4 tbsp Red Curry Paste Thai
4 tbsp Fish Sauce
4 tbsp Lime, juice
4 tbsp Palm Sugar brown sugar or
2 tsp Chili Flakes adjust to taste
4 Onion, sliced","1. In a large pot, fry onions in the top layer of coconut milk(coconut oil). Allow onion to brown. Add lime zest, dried ginger, Thai red curry paste, fish sauce, lime juice, brown sugar, and chili flakes. Fry till fragrant.
2. Add chicken stock
3. Place the pot over medium heat and bring the mixture to a simmer. Allow it to simmer for about 15 minutes to let the flavors meld together.","N/A"
"Italian Beef Sandwich","Mains & Entrees","1 roll Ciabatta
8 ounce Beef Ribeye shaved steak
1/4 cup Giardiniera sliced, pickled vegetable mix
2 slice Smoked Mozzarella cheese
1/2 cup Beef au jus, for dipping","1. Slice the ciabatta roll horizontally, creating a top and bottom piece for the sandwich.
2. Oil the grill with garlic oil
3. Season the shaved ribeye steak with salt and pepper.
4. Place the ribeye steak on the grill and cook for a few minutes on each side until browned and caramelized. Remove the steak from the heat and set it aside.
5. Place the ciabatta roll, cut sides down on the grill. Grill for a few minutes until the bread is toasted
6. Remove the bread from the grill and assemble the sandwich. Place the grilled ribeye steak on the bottom half of the ciabatta roll, followed by the sliced giardiniera and the smoked mozzarella cheese.
7. Place the assembled sandwich back on the grill and cover it with a lid to help melt the cheese. Grill for a few minutes until the cheese is melted and bubbly.","N/A"
"Grilled Cheese 'old'","Mains & Entrees","0.67 loaf Focaccia
3 slice Aged Cheddar sliced
1 pack Brie Cheese
1 tbsp Fig Jam
Arugula same salad on pizza/steak
Garlic Oil Fresh
sprinkle Parmesan","1. Cut a portion of bread off of one full piece of focaccia. Enough for an order of pasta and set aside. Slice the remaining chunk of focaccia in half hamburger style.
2. Use grill butter on grill and fry bread, open crumb of bread facing down. The sandiwch will be served ""inside out"". The open crumb will be on the outside of the sandwich once completed.
3. Place the assembled sandwich on a baking sheet and put it in the oven until the cheese is melted and bubbly, keeping a close eye on it to prevent burning.
4. Once the cheese has melted, remove the sandwich from the oven and let it cool for a minute.
5. Add a handful of arugula salad on top of the melted cheese side of the sandwich.
6. Close the sandwich by placing the crispy bread side on top of the greens.
7. Slice the grilled cheese sandwich on a bias, ensuring each slice has a perfect combination of crispy bread, melted cheese, and fresh greens.","N/A"
"Bravas Aioli","Sauces & Condiments","4 cup Mayo
1/2 cup Pomodoro spicy, cold
1/4 cup Hot Sauce
2 tbsp Smoked Paprika
2 tbsp Garlic Powder
1/4 cup Lemon, juice
to taste Salt And Pepper","1. In a large bowl, combine the mayonnaise, tomato paste, hot sauce, smoked paprika, garlic powder, and lemon juice.
2. Stir well until all the ingredients are thoroughly combined.
3. Taste the aioli and adjust the seasoning with salt and pepper according to your preference.
4. Date and store in reach in","N/A"
"Herb Butter","Sauces & Condiments","1 cup Unsalted Butter softened
2 tbsp Chives fresh finely chopped
1 tbsp Rosemary fresh finely chopped
to taste Salt","1. In a mixing bowl, add the softened butter, chopped chives, and chopped rosemary.
2. Season with salt to taste.
3. Using a spatula mix all the ingredients together until well combined.
4. Once thoroughly mixed, transfer the butter onto a sheet of plastic wrap
5. Roll the butter into a log shape, twisting the ends of the wrap to secure it.
6. Refrigerate the infused butter for at least 1 hour to allow the flavors to meld and the butter to firm up.
7. When ready to use, remove the butter log from the refrigerator and slice it into discs.","N/A"
"Pistachio Gremolata","Prep & Pantry","2 cup Pistachios shelled finely chopped
4 Lemon, zest
1/2 cup Parsley fresh finely chopped
4 Garlic, cloves minced
to taste Salt And Pepper","1. In a bowl, combine the finely chopped pistachios, lemon zest, chopped parsley, and minced garlic.
2. Mix well until all the ingredients are evenly distributed.
3. Season with salt and pepper to taste.","N/A"
"Pork Ribs","Mains & Entrees","8 Baby Back Ribs slabs
3 qt Brown Sugar
1 qt Salt And Pepper
1 qt Red Curry Paste
as needed Water
1 portion Pork Ribs braised
1 drizzle Fish Sauce Caramel Caramel
1 tbsp Peanuts Shelled Roasted
1 handful Mint, chiffonade
2 oz Onion Straws
Cilantro Slaw Mk1","To prep
1. Portion out the ribs into 2 bone sections.
2. Toss 2-bone sections with sugar/curry dry rub, making sure to massage well enough so that the sugar sticks.
3. Place into hotel pans, bones down.
4. Cover halfway up ribs with water.
5. Wrap with saran wrap then foil.
6. Bake in 300 degree oven 2 hours.
7. Remove cover and allow to cool in cooler.
8. Wrap 2 portions of 2-bones in saran wrap, place in 1/3 pan.
9. Date and place one in cooler on sautee station, the other in the walk in cooler.
Per order
10. Unwrap ribs, place on sizzle platter with 1 ladle of chicken stock and a drizzle of thai glaze.
11. Roast in oven till water evaporates and sauce caramelizes.
12. Baste ribs with excess sauce.
13. Garnish with chopped peanuts.
14. Plate on long app plate, mound of coleslaw on the left, ribs fanned around. A pile of onion straws tossed with chives, droops down the other side.
15. Whole plate is garnished with more peanuts and mint chiffonade.","N/A"
"Risotto Base","Prep & Pantry","70 oz Arborio Rice 2 boxes
8 oz Chicken Base
1 qt White Wine
8 oz Shallot minced
4 oz Garlic minced
1.5 gallon Water hot to use as broth
2 cup Heavy Cream","1. Prep: In a pan, sauté minced shallots and garlic in oil/butter until translucent.
2. Rice: Add Arborio rice to the pan and toast briefly. Add chicken base and toast. Pour in white wine and stir continuously until mostly evaporated.
3. Risotto: Gradually ladle in broth to the rice, stirring frequently after each addition until absorbed. Continue this process until the rice is al dente. Mix in heavy cream until desired consistency.
4. Cooling: For storage, spread the risotto on a sheet tray in a thin layer. Allow to cool to room temperature, then transfer to the refrigerator. This method ensures that the rice stops cooking and retains its texture.
5. Storing: After cooling, place risotto in an airtight container in the fridge. This mix is used for the Risotto entrée and the arancini.
6. Reheating: To serve, take the needed portion of risotto and place in a pan after your veggies have been sautéed. Add a bit of broth and gently heat, stirring constantly, until you achieve the desired temperature and creaminess.","N/A"
"Arancini","Appetizers & Sides","1/2 batch Risotto Base
4 Burrata balls
as needed Breadcrumbs
to taste Salt And Pepper
1 cup Parmesan
1 cup Herb Mix","1. Burrata integration: Gently break apart the burrata balls and fold them into the cooled risotto. Mix until the creamy center of the burrata is evenly distributed and you have a consistent mixture. Mix in Parmesan and Herb Mix.
2. Scoop and shape: Use a blue scoop to form the mixture into even-sized balls
3. Coating: Roll each arancini ball in panko breadcrumbs until thoroughly coated
4. Frying: Heat oil in a deep-fryer. Fry arancini until golden brown. It should take about 4-5 minutes for each order.
5. Plating: 6 oz ladle of pomodoro, in a brown crock. Top with piave and a piece of fried basil.","N/A"
"Piri Piri Calamari 'old' 'plating'","Prep & Pantry","1 cup Calamari rings and tentacles:, from your prepped 1/3 pan
as needed Flour Seasoned, salt, pepper, and any other preferred seasonings
2 oz Piri Piri sauce
1 heaping tbsp Celery Chow Chow Chowchow: for garnish
1 sprinkle Crumbled Blue Cheese
1 pinch Arugula of for plating","1. Dredging: Toss the calamari in the seasoned flour until each piece is evenly coated.
2. Frying: Drop the dredged calamari into the deep fryer set at 350°F Fry until they are golden and crispy, typically about 2-3 minutes.
3. Tossing: Transfer the calamari directly to a mixing bowl and toss with your desired amount of Piri Piri sauce until well coated.
4. Plating: Lay some arugula in a bown, place the sauced calamari on top. Garnish with a spoonful or two of Celery Chowchow and a sprinkle of bleu cheese crumbles.
5. None","N/A"
"Celery Chow Chow","Sauces & Condiments","16 stalk Celery cups, finely diced
2 Red Bell Pepper finely diced
2 White Onion finely diced
4 cup Cider Vinegar Apple
2 cup Granulated Sugar
4 tsp Yellow Mustard Seed
2 tsp Turmeric Powder Ground
2 tsp Salt","1. Preparation: Dice celery, red bell peppers, and white onions.
2. Cooking: In a large saucepan, combine apple cider vinegar, granulated sugar, mustard seeds, turmeric, and salt. Bring to a simmer.
3. Adding vegetables: Once simmering, add the diced vegetables. Cook for 10 minutes, ensuring they soften yet retain a slight crunch.
4. Cooling: Remove from heat and allow to cool to room temperature.
5. Storage: Transfer to jars and store in the refrigerator.","N/A"
"Piri Piri Buffalo 'old'","Sauces & Condiments","20 Red Bell Pepper cleaned, seeded, chopped
1 lb Butter cut in 2, one for sauteeing one for blending
1 cup Lemon, juice
1/2 cup Cider Vinegar Apple
10 Garlic, cloves minced
2 tsp Cayenne Ground Pepper, adjust as needed
2 tbsp Paprika
1 tbsp Dried Oregano
2 tsp Salt
1 tsp Ground Black Pepper
1 cup Ranch dagneses ranch
1 cup Frank's Red Hot Sauce canned?","1. Sauté peppers in half the butter until soft (8-10 min). if using canned peppers skip to step 3
2. Add garlic, sauté 2-3 min.
3. Blend all ingredients until smooth. Strain out large bits. Add Franks red hot and Dagneses Ranch and mix well
4. Store in a cool place.","N/A"
"Harissa Yogurt","Sauces & Condiments","2 qt Yogurt Plain
0.5 Cont Harissa Paste
to taste Salt
2 ea Lime, juice","1. Whisk yogurt and harissa together until smooth.
2. Season with salt and lime juice.
3. Chill until serving.","N/A"
"Thai Umami Glaze","Sauces & Condiments","3 lb Sugar
1 qt Water
0.5 qt Fish Sauce
2 tbsp Red Pepper Flakes
8 Garlic, cloves Minced
Lime, zest
Lime, juice","1. Dissolve sugar in water over medium. Boil to deep amber.
2. Add fish sauce, pepper flakes, garlic.
3. Off heat, stir in lime zest and juice. Cool.","N/A"
"Mushroom Risotto 'old' 'plating'","Mains & Entrees","6 oz Risotto Base
1.5 oz Mushroom Mix Wild, sliced
Garlic Oil and oil for sauteing mushrooms
1 pinch Calabrian Chilies In Oil diced
drizzle Truffle Oil A, about 0.25 oz or to taste
Salt And Pepper To taste
Arugula A pinch
drizzle Basil Oil","1. In a sauté pan, heat a small amount of garlic oil over medium heat.
2. Add the sliced wild mushrooms, diced pickled cherry peppers and confit garlic. Sauté until mushrooms release their moisture and become golden.
3. Add the 6 oz of prepared base risotto to the pan, stirring to combine.
4. Add a little stock to reach the desired consistency.
5. Season with salt and pepper.
6. Just before serving, drizzle in the truffle oil and stir well to incorporate.
7. Plate the risotto, garnish with a pinch of fresh arugula and a drizzle of basil EVOO.","N/A"
"Basil Oil 'old'","Sauces & Condiments","4 cup Basil, leaves fresh loosely packed
32 ounce Extra Virgin Olive Oil 1 quart","Blanch the basil
1. Start by blanching the basil leaves briefly. Bring a large pot of water to a boil, and prepare a bowl of ice water.
2. Submerge the basil leaves in the boiling water for about 10-15 seconds or until they turn bright green.
3. Quickly transfer the blanched basil to the ice water to stop the cooking process. This helps preserve the bright green color.
Dry the basil
4. Remove the blanched basil leaves from the ice water and gently pat them dry with a clean kitchen towel or paper towels.
Blend basil and olive oil
5. In a high-speed blender or food processor, combine the blanched basil leaves and extra virgin olive oil.
6. Blend until you have a smooth and vibrant green mixture. This may take a minute or two.
Strain the basil oil
7. Place a fine-mesh strainer or cheesecloth over a clean bowl or jug.
8. Pour the blended basil and olive oil mixture through the strainer to remove any solid pieces, leaving you with smooth basil oil.
Transfer to a container
9. Carefully pour the strained basil oil into a sterilized quart-sized glass bottle or container.","N/A"
"Shrimp Linguine","Mains & Entrees","4 Shrimp
5 White Wine
2 oz Roasted Tomatoes A handful
3 oz Chicken Stock
1 tsp Lemon, juice
1 tbsp Butter
1 oz Parmesan oz, grated
6 oz Linguine oz, cooked al dente
Salt And Pepper To taste
Olive Oil or butter: For sautéing","1. In a sauté pan, heat olive oil or butter over medium-high heat.
2. Add shrimp and sauté until pink and almost fully cooked.
3. Add the roasted tomatoes, stirring gently to combine.
4. Deglaze the pan with white wine, scraping up any flavorful bits from the bottom of the pan.
5. Pour in chicken stock and lemon juice.
6. Reduce heat to medium and let it simmer until the liquid is reduced by about half.
7. Add butter and grated parmesan, stirring until both are melted and the sauce thickens slightly.
8. Toss in cooked linguine, ensuring the pasta is well coated with the sauce.
9. Season with salt and pepper to taste.
10. Plate and serve immediately. Garnish with herbs, parmesan and bread","N/A"
"Confit Tomato","Prep & Pantry","12 Heirloom Tomato roma or
1 tbsp Dried Basil
1 tbsp Dried Oregano
1 tbsp Red Pepper Flakes
to taste Salt And Pepper
6 Bay Leaf Dried
Vegetable Oil enough to cover
24 clove Garlic","1. Core tomatoes
2. Place tomatoes, garlic, bay leaf in hotel pan flat side facing up
3. Mix spices together and season tomatoes with resulting mix
4. Pour enough oil to cover tomatoes
5. Bake off in oven at 500 for 25 min. should be tender to a knife","N/A"
"Chimichurri","Sauces & Condiments","3 bunch Parsley of stemmed and roughly chopped
3 bunch Cilantro of stemmed and roughly chopped
3 Shallot roughly chopped
1 tbsp Cumin Seed
3 Jalapeno jalapeños, seeded
6 Clove garlic peeled
1 tsp Crushed Red Pepper
8 Lime, juice
to taste Salt And Pepper S+PTT
1 qt Vegetable Oil of pomace","Prep ingredients
1. Remove stems from all herbs.
2. Prep the jalapeños by slicing in half lengthwise and removing the seeds to reduce the heat.
Blend herbs, alliums, & spices
3. In a food processor or blender, combine the parsley, cilantro, shallots, jalapeños, garlic, cumin, and crushed red pepper. Blend until the mixture is finely chopped but not entirely puréed.
Add lime juice
4. Pour in the lime juice and blend again to combine.
Incorporate the oil
5. With the blender or food processor running on a low setting, slowly drizzle in the oil. This will emulsify the mixture, turning it into a smooth, sauce-like consistency.
Season & adjust
6. Season the mixture with salt and pepper. Taste and adjust accordingly
Store & serve
7. Transfer to an airtight container and store in the refrigerator until ready to use.","N/A"
"Pork Shoulder With Grits","Mains & Entrees","4 oz White Grits
1 ea Salad For Pork
4 oz Verjus Glaze 1
1 pc Confit Pork","To finish
1. Sear pork in a pan with garlic oil, deglaze with verjus and baste pork till 155 internal temp. add grapes to pan in last few minutes
2. Mix arugula, pistachios, and grapes with lemon juice and olive oil for salad.
3. Serve pork over a smear of grits, garish with salad leaves on top, drizzle with saba, and accompany with White Grits.","N/A"
"Verjus Glaze 1","Sauces & Condiments","1 cup Honey
1 Bay Leaf Dried
1 1/2 qt Verjus
1 qt Chicken Stock or
3 Thyme, sprig
2 tsp Red Pepper Flakes","1. Simmer honey, bay leaf, thyme, and red pepper flakes, add verjus and stock, reduce to 3 cups.
2. Set aside 2 cups for pork, reserve 1 cup. Lasts up to 1 week.","N/A"
"Confit Pork","Prep & Pantry","1 tbsp Fennel Seed
2 tsp Annatto Seed
1 1/2 tsp Black Peppercorns
1 1/2 tsp Spanish Paprika
1 1/2 tsp Red Pepper Flakes
1/2 cup Light Brown Sugar firmly packed
1/2 cup Salt
1 pound Pork Shoulder","1. Mix spice blend with sugar and salt, rub onto pork, refrigerate for 24/48 hours.
2. Rinse pork, pat dry, preheat oven to 300F, cover pork in lard, and cook for 2.5 hours until tender.
3. Strain from lard and let cool. place in 1/3 pan for service","N/A"
"White Grits","Appetizers & Sides","3 qt Water whole
1 qt Heavy Cream
1 qt Grits white, we like Geechie Boy Mill
drizzle Saba
1/2 cup Unsalted Butter
1 Lemon, juice
Salt And Pepper
Tabasco Sauce","1. Simmer water and cream in a saucepot, whisk in grits, reduce heat, and cook for 30 minutes until tender.
2. Stir in butter, lemon juice, salt, pepper, and Tabasco.
3. Fill have a 1/6 pan for service
4. Cool any extras on sheet tray and store in 1/6 pan hot well for service","N/A"
"Salad For Pork","Prep & Pantry","small Arugula handful of
4 Green Grapes, stems removed halved
Lemon, juice
Extra Virgin Olive Oil evoo
Salt And Pepper","1. Combine all in a bowl and use as garnish for pork and grits","N/A"
"Chashu Miso Ramen","Soups & Salads","3 pound Pork Ribs dont worry about the rib marinate. just brown and place in stock pot
1 cup Chicken Base
2 tbsp Vegetable Oil
1 large Onion skin on, roughly chopped
12 Garlic, cloves
3 inch Ginger One knob roughly chopped
2 dzn Scallions white parts only, reserve greens and light green parts for garnishing finished soup
6 ounce Cremini Mushrooms whole mushrooms or mushroom scraps, such as cremini","N/A","N/A"
"Verjus Glaze","Sauces & Condiments","For Glaze
2 cup Honey
2 Bay Leaf Dried
3 qt Verjus
2 qt Chicken Stock or
6 sprig Thyme
1 tbsp 1 tsp Red Pepper Flakes","N/A","N/A"
"Brine For Chicken Old","Prep & Pantry","8 cup Water
1/2 cup Kosher Salt
0.33 cup Sugar
2 Lemon, juice The zest and of
2 Lime, juice The zest and of
1 Orange Juice The zest and juice of orange
4 Garlic, cloves smashed
1 tbsp Black Peppercorns
1 small Chives bunch
1 small Rosemary bunch
1 small Parsley bunch
2 Bay Leaf Dried leaves","1. Combine the brine ingredients: In a large pot, combine the water, salt, and sugar. Warm over medium heat, stirring, until the salt and sugar dissolve completely.
2. Add citrus and herbs: Remove the pot from the heat. Add the lemon, lime, and orange zest and juice, along with the garlic, peppercorns, thyme, rosemary, parsley, and bay leaves.
3. Cool the brine: Allow the brine to cool to room temperature. To speed up the process, you can place the pot in an ice bath.
4. Brine the chicken: Once the brine is completely cool, add the chicken pieces ensuring they are fully submerged. Cover and refrigerate for 12 to 24 hours, depending on the size of the chicken pieces.
5. Prepare for cooking: After brining, remove the chicken from the brine, rinse under cold water, and pat dry with paper towels.","Yield: 2 Quarts"
"Black Garlic Mustard","Sauces & Condiments","1 cup Black Garlic
1.5 cup Mustard Seed whole, mix of yellow and brown
2 cup Cider Vinegar apple
1 cup Water adjust for desired consistency
2 tbsp Honey
2 tsp Salt","1. Blend the black garlic cloves in a food processor until smooth.
2. Mix the mustard seeds and vinegar in a bowl, cover, and let them soak overnight. or use tub mustard from walkin
3. Add the soaked mustard seeds and vinegar, black garlic paste, water, honey, and salt to a bowl and whisk to combine
4. Transfer to cambro","N/A"
"Balsamic Pearls","Prep & Pantry","2 cup Balsamic Vinegar
4 tsp Agar Agar powder
Vegetable Oil Cold, enough to fill a tall, narrow container, chilled for at least 2 hours","1. Mix the balsamic vinegar and agar agar in a saucepan, then bring to a simmer while stirring until the agar completely dissolves.
2. Let the mixture cool slightly, then using a dropper or a small bottle, drop the balsamic mixture into the cold oil. The pearls will form as they fall.
3. Once all the mixture is used, strain the pearls from the oil and rinse them with water. Store in a container until needed.","N/A"
